# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Frankiaceae	g__Frankia	0.007032199	0.004583764	0.002683811	0.002814817
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Frankiales	f__Frankiaceae	g__Jatrophihabitans	0.00110762	0.000696924	0.000426678	0.000413844
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Geodermatophilales	f__Geodermatophilaceae	g__Blastococcus	0.001608398	0.001089216	0.000707337	0.000753104
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Geodermatophilales	f__Geodermatophilaceae	g__Geodermatophilus	0.002136781	0.00141879	0.000987268	0.001127961
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Geodermatophilales	f__Geodermatophilaceae	g__Modestobacter	0.001856849	0.001257272	0.000872729	0.000902998
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Glycomycetales	f__Glycomycetaceae	g__Stackebrandtia	0.001038848	0.000583353	0.0005078	0.000412149
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Jiangellales	f__Jiangellaceae	g__Jiangella	0.004081775	0.002835158	0.002235823	0.001934097
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Kineosporiales	f__Kineosporiaceae	g__Kineococcus	0.000986784	0.000689175	0.000474383	0.000478499
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Beutenbergiaceae	g__Beutenbergia	0.00110544	0.000708547	0.000488912	0.000465665
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Beutenbergiaceae	g__Miniimonas	0.000817275	0.000682637	0.000462517	0.000471477
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	0.000827688	0.00065939	0.000418687	0.000411907
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	0.003742031	0.002801983	0.002296604	0.002559827
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Paraoerskovia	0.000490849	0.00034604	0.000299789	0.000270004
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	0.002210881	0.001504029	0.001083404	0.001047565
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Dermabacter	0.000145778	0.000231259	0.000112602	0.000120593
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Devriesea	8.04E-05	4.26E-05	2.95E-05	3.10E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Dermacoccus	0.00052911	0.000424741	0.000267824	0.000299789
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Kytococcus	0.000449925	0.000393745	0.000263707	0.00026395
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Luteipulveratus	0.000739785	0.000471235	0.000340713	0.000350883
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermatophilaceae	g__Dermatophilus	8.57E-05	5.09E-05	3.39E-05	3.78E-05
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Arsenicicoccus	0.000859168	0.000647282	0.00046058	0.000485522
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Intrasporangium	0.000195177	0.00129529	0.001539383	0.002880683
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	0.000761095	0.00057633	0.000431763	0.000452347
