# Constructed from biom file								
Level_1	Level_2	Level_3	Level_4	Level_5	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Ligamenvirales	f__Turriviridae	5	4	1	4
k__Viruses	p__	c__	o__Mononegavirales	f__Bornaviridae	19	13	16	11
k__Viruses	p__	c__	o__Mononegavirales	f__Filoviridae	44	33	26	25
k__Viruses	p__	c__	o__Mononegavirales	f__Mymonaviridae	1	2	0	2
k__Viruses	p__	c__	o__Mononegavirales	f__Nyamiviridae	3	2	8	5
k__Viruses	p__	c__	o__Mononegavirales	f__Paramyxoviridae	190	156	147	183
k__Viruses	p__	c__	o__Mononegavirales	f__Pneumoviridae	7	12	17	16
k__Viruses	p__	c__	o__Mononegavirales	f__Rhabdoviridae	298	301	293	280
k__Viruses	p__	c__	o__Mononegavirales	f__Sunviridae	3	4	8	6
k__Viruses	p__	c__	o__Nidovirales	f__Arteriviridae	45	38	34	33
k__Viruses	p__	c__	o__Nidovirales	f__Coronaviridae	296	282	304	300
k__Viruses	p__	c__	o__Nidovirales	f__Mesoniviridae	32	30	23	25
k__Viruses	p__	c__	o__Nidovirales	f__Potyviridae	213	196	177	241
k__Viruses	p__	c__	o__Nidovirales	f__Roniviridae	5	2	2	2
k__Viruses	p__	c__	o__Ortervirales	f__Alphasatellitidae	12	20	14	17
k__Viruses	p__	c__	o__Ortervirales	f__Caulimoviridae	100	83	84	77
k__Viruses	p__	c__	o__Ortervirales	f__Hepadnaviridae	9	7	6	10
k__Viruses	p__	c__	o__Ortervirales	f__Pleolipoviridae	18	21	13	11
k__Viruses	p__	c__	o__Ortervirales	f__Retroviridae	59	62	56	58
k__Viruses	p__	c__	o__Ortervirales	f__Tolecusatellitidae	48	59	40	45
k__Viruses	p__	c__	o__Picornavirales	f__Dicistroviridae	66	58	62	59
k__Viruses	p__	c__	o__Picornavirales	f__Flaviviridae	16	16	27	0
k__Viruses	p__	c__	o__Picornavirales	f__Iflaviridae	51	70	62	46
k__Viruses	p__	c__	o__Picornavirales	f__Marnaviridae	1	1	0	0
k__Viruses	p__	c__	o__Picornavirales	f__Picornaviridae	171	192	149	182
k__Viruses	p__	c__	o__Picornavirales	f__Polycipiviridae	22	21	17	22
k__Viruses	p__	c__	o__Picornavirales	f__Potyviridae	27	26	25	0
k__Viruses	p__	c__	o__Picornavirales	f__Secoviridae	107	103	78	79
k__Viruses	p__	c__	o__Tymovirales	f__Alphaflexiviridae	66	56	47	62
k__Viruses	p__	c__	o__Tymovirales	f__Alphatetraviridae	11	12	8	9
k__Viruses	p__	c__	o__Tymovirales	f__Astroviridae	45	42	38	45
k__Viruses	p__	c__	o__Tymovirales	f__Barnaviridae	1	0	0	1
k__Viruses	p__	c__	o__Tymovirales	f__Benyviridae	9	9	4	5
k__Viruses	p__	c__	o__Tymovirales	f__Betaflexiviridae	116	114	92	108
k__Viruses	p__	c__	o__Tymovirales	f__Bromoviridae	45	43	55	51
k__Viruses	p__	c__	o__Tymovirales	f__Caliciviridae	48	53	49	37
k__Viruses	p__	c__	o__Tymovirales	f__Carmotetraviridae	2	2	0	0
k__Viruses	p__	c__	o__Tymovirales	f__Closteroviridae	165	165	155	192
k__Viruses	p__	c__	o__Tymovirales	f__Deltaflexiviridae	5	8	8	4
k__Viruses	p__	c__	o__Tymovirales	f__Flaviviridae	199	187	171	207
k__Viruses	p__	c__	o__Tymovirales	f__Gammaflexiviridae	1	0	0	1
k__Viruses	p__	c__	o__Tymovirales	f__Hepeviridae	9	0	4	5
k__Viruses	p__	c__	o__Tymovirales	f__Leviviridae	8	6	5	7
k__Viruses	p__	c__	o__Tymovirales	f__Luteoviridae	48	45	34	29
k__Viruses	p__	c__	o__Tymovirales	f__Narnaviridae	20	19	19	11
k__Viruses	p__	c__	o__Tymovirales	f__Nodaviridae	17	10	7	11
k__Viruses	p__	c__	o__Tymovirales	f__Permutotetraviridae	4	1	0	6
k__Viruses	p__	c__	o__Tymovirales	f__Solemoviridae	8	11	4	11
k__Viruses	p__	c__	o__Tymovirales	f__Solinviviridae	19	17	8	10
k__Viruses	p__	c__	o__Tymovirales	f__Togaviridae	52	43	33	34
k__Viruses	p__	c__	o__Tymovirales	f__Tombusviridae	56	43	58	37
k__Viruses	p__	c__	o__Tymovirales	f__Tymoviridae	38	51	49	40
k__Viruses	p__	c__	o__Tymovirales	f__Virgaviridae	84	86	64	71
