# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Lineavirus	3	0	5	0
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Plectrovirus	4	0	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Saetivirus	0	0	0	1
k__Viruses	p__	c__	o__Bunyavirales	f__Inoviridae	g__Vespertiliovirus	10	8	9	11
k__Viruses	p__	c__	o__Bunyavirales	f__Megabirnaviridae	g__Megabirnavirus	3	3	7	5
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__	7	8	5	4
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Alpha3microvirus	2	2	9	6
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Bdellomicrovirus	1	1	0	3
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Chlamydiamicrovirus	1	2	0	1
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__G4microvirus	1	4	3	4
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Pequenovirus	6	4	3	3
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Phix174microvirus	10	13	7	3
k__Viruses	p__	c__	o__Bunyavirales	f__Microviridae	g__Spiromicrovirus	1	0	0	1
k__Viruses	p__	c__	o__Bunyavirales	f__Nairoviridae	g__Orthonairovirus	59	63	49	74
k__Viruses	p__	c__	o__Bunyavirales	f__Nanoviridae	g__Babuvirus	5	4	2	3
k__Viruses	p__	c__	o__Bunyavirales	f__Nanoviridae	g__Nanovirus	4	5	2	8
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Alphainfluenzavirus	12	8	16	5
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Betainfluenzavirus	4	1	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Deltainfluenzavirus	2	0	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Gammainfluenzavirus	1	1	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Isavirus	4	1	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Quaranjavirus	0	1	0	3
k__Viruses	p__	c__	o__Bunyavirales	f__Orthomyxoviridae	g__Thogotovirus	7	3	8	5
k__Viruses	p__	c__	o__Bunyavirales	f__Partitiviridae	g__	1	9	4	10
k__Viruses	p__	c__	o__Bunyavirales	f__Partitiviridae	g__Alphapartitivirus	3	2	1	2
k__Viruses	p__	c__	o__Bunyavirales	f__Partitiviridae	g__Betapartitivirus	16	21	16	8
k__Viruses	p__	c__	o__Bunyavirales	f__Partitiviridae	g__Deltapartitivirus	1	5	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Partitiviridae	g__Gammapartitivirus	4	4	5	1
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Ambidensovirus	11	13	10	13
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Amdoparvovirus	4	4	2	1
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Aveparvovirus	0	1	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Bocaparvovirus	19	13	18	21
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Brevidensovirus	3	3	0	2
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Copiparvovirus	2	1	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Dependoparvovirus	14	10	16	28
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Hepandensovirus	4	4	3	2
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Iteradensovirus	9	8	3	2
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Penstyldensovirus	3	0	3	0
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Protoparvovirus	15	16	15	6
k__Viruses	p__	c__	o__Bunyavirales	f__Parvoviridae	g__Tetraparvovirus	12	9	11	3
k__Viruses	p__	c__	o__Bunyavirales	f__Peribunyaviridae	g__Herbevirus	2	6	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Peribunyaviridae	g__Orthobunyavirus	61	65	56	69
k__Viruses	p__	c__	o__Bunyavirales	f__Phasmaviridae	g__Orthophasmavirus	1	5	4	3
k__Viruses	p__	c__	o__Bunyavirales	f__Phenuiviridae	g__Goukovirus	3	0	0	3
k__Viruses	p__	c__	o__Bunyavirales	f__Phenuiviridae	g__Phasivirus	3	2	0	4
k__Viruses	p__	c__	o__Bunyavirales	f__Phenuiviridae	g__Phlebovirus	46	47	36	43
k__Viruses	p__	c__	o__Bunyavirales	f__Phenuiviridae	g__Tenuivirus	14	10	6	7
k__Viruses	p__	c__	o__Bunyavirales	f__Picobirnaviridae	g__Picobirnavirus	2	4	3	2
k__Viruses	p__	c__	o__Bunyavirales	f__Quadriviridae	g__Quadrivirus	981	914	889	823
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Aquareovirus	16	21	15	16
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Coltivirus	8	10	7	7
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Cypovirus	13	12	21	17
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Dinovernavirus	5	10	8	2
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Fijivirus	25	33	16	25
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Mimoreovirus	38	30	29	27
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Mycoreovirus	11	15	9	14
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Orbivirus	72	50	50	55
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Orthoreovirus	45	34	25	24
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Oryzavirus	7	1	0	4
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Phytoreovirus	15	9	8	15
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Rotavirus	31	24	26	20
k__Viruses	p__	c__	o__Bunyavirales	f__Reoviridae	g__Seadornavirus	10	12	13	13
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__	1	2	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__Bovismacovirus	1	0	1	0
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__Cosmacovirus	1	0	2	2
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__Drosmacovirus	2	1	0	0
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__Huchismacovirus	0	1	1	1
k__Viruses	p__	c__	o__Bunyavirales	f__Smacoviridae	g__Porprismacovirus	2	5	4	9
k__Viruses	p__	c__	o__Bunyavirales	f__Tospoviridae	g__Orthotospovirus	39	28	29	30
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__	21	24	8	24
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__Giardiavirus	33	29	29	40
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__Leishmaniavirus	11	22	7	10
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__Totivirus	4	4	5	3
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__Trichomonasvirus	4	2	5	4
k__Viruses	p__	c__	o__Bunyavirales	f__Totiviridae	g__Victorivirus	41	23	19	22
k__Viruses	p__	c__	o__Caudovirales	f__Ackermannviridae	g__	88	89	103	114
k__Viruses	p__	c__	o__Caudovirales	f__Ackermannviridae	g__Ag3virus	58	48	31	44
k__Viruses	p__	c__	o__Caudovirales	f__Ackermannviridae	g__Cba120virus	16	21	22	60
k__Viruses	p__	c__	o__Caudovirales	f__Ackermannviridae	g__Limestonevirus	11	67	36	7
k__Viruses	p__	c__	o__Caudovirales	f__Ackermannviridae	g__Vi1virus	11	13	13	10
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__	4551	4495	4638	4908
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Abouovirus	3	3	8	2
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Agatevirus	276	264	354	348
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Agrican357virus	131	142	216	177
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Ap22virus	18	19	22	19
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Arv1virus	30	24	55	59
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__B4virus	73	58	77	85
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Bastillevirus	66	53	7	5
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Bc431virus	131	166	143	123
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Bcep78virus	32	29	71	37
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Bcepmuvirus	16	13	17	7
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Biquartavirus	5	65	35	8
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Bxz1virus	197	195	203	193
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cc31virus	45	71	38	49
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cd119virus	7	8	9	6
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cp220virus	63	63	63	66
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cp51virus	67	87	98	91
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cp8virus	43	39	30	14
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cr3virus	129	162	173	172
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Cvm10virus	16	12	7	9
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Ea214virus	18	20	23	19
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Elvirus	16	20	24	26
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Felixo1virus	39	44	43	65
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Hapunavirus	21	12	11	22
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Hp1virus	26	24	24	19
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Jd18virus	53	55	200	57
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Jimmervirus	2	4	0	1
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Js98virus	112	122	78	92
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Kayvirus	64	26	16	16
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Kp15virus	11	12	10	6
k__Viruses	p__	c__	o__Caudovirales	f__Myoviridae	g__Kpp10virus	103	49	69	29
