# Constructed from biom file									
Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	controlA	controlB	maizA	maizB
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Kineosporiales	f__Kineosporiaceae	g__Kineococcus	4075	2846	1959	1976
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Beutenbergiaceae	g__Beutenbergia	4565	2926	2019	1923
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Beutenbergiaceae	g__Miniimonas	3375	2819	1910	1947
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	3418	2723	1729	1701
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	15453	11571	9484	10571
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Paraoerskovia	2027	1429	1238	1115
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	9130	6211	4474	4326
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Dermabacter	602	955	465	498
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Devriesea	332	176	122	128
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Dermacoccus	2185	1754	1106	1238
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Kytococcus	1858	1626	1089	1090
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Luteipulveratus	3055	1946	1407	1449
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermatophilaceae	g__Dermatophilus	354	210	140	156
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Arsenicicoccus	3548	2673	1902	2005
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Intrasporangium	806	5349	6357	11896
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	3143	2380	1783	1868
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	3957	2671	2023	2216
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Serinicoccus	3526	2246	1556	1727
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Jonesiaceae	g__Jonesia	0	123	88	102
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Jonesiaceae	g__Tropheryma	6	36	13	13
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agrococcus	7357	5097	3677	3620
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	16410	12824	24433	23876
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Aurantimicrobium	286	172	117	129
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Candidatus Aquiluna	121	55	31	32
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Clavibacter	6463	6113	4673	4719
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cnuibacter	3205	2270	1886	1731
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	3765	2632	2103	2132
k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	6647	5024	3630	3523
